Nome	Autor	Tombo	Ano	Edição	Editora
O PEQUENO PRÍNCIPE	ANTOINE DE SAINT-EXUPÉRY	29			INST. BRAUDEL
O PEQUENO PRÍNCIPE	ANTOINE DE SAINT-EXUPÉRY	30			INST. BRAUDEL
O PEQUENO PRÍNCIPE	ANTOINE DE SAINT-EXUPÉRY	31			INST. BRAUDEL
O PEQUENO PRÍNCIPE	ANTOINE DE SAINT-EXUPÉRY	32			INST. BRAUDEL
O PEQUENO PRÍNCIPE	ANTOINE DE SAINT-EXUPÉRY	33			INST. BRAUDEL
O PEQUENO PRÍNCIPE	ANTOINE DE SAINT-EXUPÉRY	34			INST. BRAUDEL
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	35	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	36	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	37	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	38	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	39	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	40	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	41	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	42	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	43	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	44	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	45	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	46	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	47	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	48	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	49	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	50	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	51	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	52	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	53	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	54	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	55	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	56	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	57	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	58	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	59	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	60	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	61	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	62	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	63	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	64	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	65	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	66	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	67	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	68	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	69	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	70	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	71	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	72	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	73	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	74	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	75	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	76	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	77	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	78	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	79	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	80	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	81	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	82	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	83	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	84	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	85	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	86	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	87	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	88	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	89	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	90	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	91	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	92	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	93	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	94	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	95	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	96	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	97	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	98	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	99	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	100	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	101	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	102	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	103	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	104	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	105	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	106	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	107	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	108	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	109	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	110	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	111	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	112	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	113	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	114	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	115	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	116	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	117	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	118	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	119	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	120	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	121	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	122	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	123	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	124	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	125	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	126	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	127	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	128	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	129	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	130	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	131	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	132	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	133	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	134	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	135	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	136	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	137	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	138	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	139	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	140	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	141	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	142	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	143	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	144	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	145	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	146	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	147	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	148	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	149	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	150	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	151	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	152	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	153	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	154	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	155	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	156	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	157	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	158	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	159	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	160	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	161	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	162	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	163	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	164	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	165	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	166	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	167	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	168	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	169	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	170	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	171	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	172	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	173	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	174	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	175	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	176	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	177	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	178	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	179	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	180	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	181	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	182	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	183	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	184	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	185	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	186	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	187	2018	5	DIST RECORD
O DIÁRIO DE ANNE FRANK	ARI FOLMAN/ DAVID POLANSKY	188	2018	5	DIST RECORD
CÍRCULO DE LEITURA - A ARTE DO ENCONTRO	CATALINA PAGÉS/ MARIA A. LAMAS	189	2018	1ª	RECRIAR EDIT
CÍRCULO DE LEITURA - A ARTE DO ENCONTRO	CATALINA PAGÉS/ MARIA A. LAMAS	190	2018	1ª	RECRIAR EDIT
CÍRCULO DE LEITURA - A ARTE DO ENCONTRO	CATALINA PAGÉS/ MARIA A. LAMAS	191	2018	1ª	RECRIAR EDIT
CÍRCULO DE LEITURA - A ARTE DO ENCONTRO	CATALINA PAGÉS/ MARIA A. LAMAS	192	2018	1ª	RECRIAR EDIT
QUANDO ME DESCOBRI NEGRA	BIANCA SANTANA	193	2018	2ª	SESI-SP EDIT
POESIA COMPLETA E PROSA - FERREIRA GULLAR	FERREIRA GULLAR	194	2008	1ª	LACERDA EDIT
UM SOLITÁRIO À ESPREITA	MILTON HATOUM	195	2013	1ª	CIA DO BOLSO
POESIA COM RAPADURA	BRÁULIO BESSA	196	2017	1ª	CENE EDIT
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	197	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	198	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	199	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	200	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	201	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	202	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	203	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	204	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	205	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	206	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	207	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	208	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	209	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	210	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	211	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	212	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	213	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	214	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	215	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	216	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	217	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	218	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	219	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	220	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	221	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	222	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	223	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	224	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	225	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	226	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	227	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	228	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	229	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	230	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	231	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	232	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	233	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	234	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	235	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	236	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	237	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	238	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	239	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	240	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	241	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	242	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	243	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	244	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	245	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	246	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	247	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	248	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	249	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	250	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	251	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	252	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	253	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	254	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	255	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	256	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	257	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	258	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	259	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	260	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	261	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	262	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	263	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	264	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	265	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	266	2008	1ª	JPA
LAÇOS DE FAMÍLIA	CLARICE LISPECTOR	267	2008	1ª	JPA
